coun,rank,popu,ppp
Germany,1606,82800000,48111
Brazil,1590,208085000,15242
Portugal,1386,10309573,28500
Argentina,1325,44044811,20200
Belgium,1265,11370968,46383
Poland,1250,38432992,27811
Switzerland,1210,8448585,59400
France,1208,67135000,42400
Chile,1195,17373831,23960
Colombia,1191,49434200,14158
Spain,1184,46528966,36500
Peru,1103,31826018,13022
Wales,1089,3063456,42481
Mexico,1085,123364426,17862
England,1056,54786300,42481
Uruguay,1043,3493205,21600
Italy,1035,60525277,38161
Croatia,977,4154213,23596
Slovakia,967,5435343,30632
Northern Ireland,945,1870451,42481
Costa Rica,936,4947490,16614
Iceland,931,343960,51399
Sweden,918,10065389,49175
Ukraine,888,42456012,8272
Iran,865,80481400,18077
Denmark,848,5760694,49496
Turkey,842,79814871,24244
USA,828,325879000,57467
Netherlands,819,17160400,50898
Egypt,815,95837500,11132
Tunisia,810,11304482,11599
Serbia,789,7058322,14512
Senegal,774,15256346,2568
Republic of Ireland,769,4757976,68883
Ecuador,767,16825600,11286
Bosnia and Herzegovina,761,3518000,12075
Montenegro,749,622387,16854
Bulgaria,739,7101859,19199
Paraguay,738,6953646,9577
Japan,737,126670000,41470
Romania,714,19638000,23626
Congo DR,709,81339988,801
Scotland,702,5404700,42481
Nigeria,696,193500543,5867
Cameroon,689,23248044,3286
Bolivia,666,11145770,7236
Greece,665,11183716,26783
Haiti,664,10911819,1784
Burkina Faso,663,19632147,1720
Australia,662,24673800,46790